sku_code,location_code,location_name,snapshot_at,on_hand_qty,reserved_qty,available_qty,in_transit_qty,damaged_qty,safety_stock_qty
AIR-24-NVY-F,STORE-GANGNAM,강남점,2026-08-24T09:00:00+09:00,213,6,207,0,0,47
AIR-24-NVY-F,STORE-HANNAM,한남점,2026-08-24T09:00:00+09:00,233,7,226,0,0,47
AIR-24-NVY-F,STORE-BUSAN,부산 센텀,2026-08-24T09:00:00+09:00,253,8,245,40,0,47
AIR-24-NVY-F,STORE-SHANGHAI,상하이 IFC,2026-08-24T09:00:00+09:00,273,9,264,0,2,47
AIR-24-NVY-F,DC-ONLINE,온라인 DC,2026-08-24T09:00:00+09:00,293,10,283,0,0,47
FRAME-31-DNM-F,ONLINE,온라인몰,2026-08-24T09:00:00+09:00,205,5,200,0,0,50
FRAME-31-DNM-F,STORE-SEONGSU,성수 플래그십,2026-08-24T09:00:00+09:00,225,6,219,0,0,50
FRAME-31-DNM-F,STORE-GANGNAM,강남점,2026-08-24T09:00:00+09:00,245,7,238,0,0,50
FRAME-31-DNM-F,STORE-HANNAM,한남점,2026-08-24T09:00:00+09:00,265,8,257,40,0,50
FRAME-31-DNM-F,STORE-BUSAN,부산 센텀,2026-08-24T09:00:00+09:00,285,9,276,0,2,50
FRAME-31-DNM-F,STORE-SHANGHAI,상하이 IFC,2026-08-24T09:00:00+09:00,305,10,295,0,0,50
FRAME-31-DNM-F,DC-ONLINE,온라인 DC,2026-08-24T09:00:00+09:00,325,11,314,0,0,50
SHEER-15-WHT-F,ONLINE,온라인몰,2026-08-24T09:00:00+09:00,237,6,231,0,0,53
SHEER-15-WHT-F,STORE-SEONGSU,성수 플래그십,2026-08-24T09:00:00+09:00,257,7,250,0,0,53
SHEER-15-WHT-F,STORE-GANGNAM,강남점,2026-08-24T09:00:00+09:00,277,8,269,40,0,53
SHEER-15-WHT-F,STORE-HANNAM,한남점,2026-08-24T09:00:00+09:00,297,9,288,0,2,53
SHEER-15-WHT-F,STORE-BUSAN,부산 센텀,2026-08-24T09:00:00+09:00,317,10,307,0,0,53
SHEER-15-WHT-F,STORE-SHANGHAI,상하이 IFC,2026-08-24T09:00:00+09:00,337,11,326,0,0,53
SHEER-15-WHT-F,DC-ONLINE,온라인 DC,2026-08-24T09:00:00+09:00,357,12,345,40,0,53
FORM-12-BLK-F,ONLINE,온라인몰,2026-08-24T09:00:00+09:00,269,7,262,0,0,56
FORM-12-BLK-F,STORE-SEONGSU,성수 플래그십,2026-08-24T09:00:00+09:00,289,8,281,40,0,56
FORM-12-BLK-F,STORE-GANGNAM,강남점,2026-08-24T09:00:00+09:00,309,9,300,0,2,56
FORM-12-BLK-F,STORE-HANNAM,한남점,2026-08-24T09:00:00+09:00,329,10,319,0,0,56
FORM-12-BLK-F,STORE-BUSAN,부산 센텀,2026-08-24T09:00:00+09:00,349,11,338,0,0,56
FORM-12-BLK-F,STORE-SHANGHAI,상하이 IFC,2026-08-24T09:00:00+09:00,369,12,357,40,0,56
FORM-12-BLK-F,DC-ONLINE,온라인 DC,2026-08-24T09:00:00+09:00,376,0,376,0,0,56
